Project Name,Instagram,,,,,,,,
Module Name,Login with Facebook,,,,,,,,
Created By,Aman Kumar,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Test Scenerio ID,Test Scenerio Description,Test Case ID,Test Case Description,Test Steps,Precondition,Test Data,Expected Result,Actual Result,Status
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_001,The Login page of Facebook should be as per the Figma design,"1.User should have launch 
https://www.instagram.com/
2.Click on Login with Facebook","User shloud have launched
https://www.facebook.com",N/A,"User able to facebook login
page","Facebook Login
page",Pass
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_002,"Blank email address, phone number and 
password","Click on Login button with blank
phone number, email address 
and password","User shloud have launched
https://www.facebook.com",N/A,"Login button should not
work","Login button should not
work",Pass
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_003,"Enter valid phone number and valid 
password","1.Enter valid phone number
2.Enter valid password
3. Click on login button","User shloud have launched
https://www.facebook.com","Phone number: 1234567890
Password: facebook#123","User should login 
successfuly",Login Succesfully,Pass
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_004,"Enter valid eamil address and valid
password","1.Enter valid email address
2.Enter valid password
3. Click on login button","User shloud have launched
https://www.facebook.com","Email address: facebook@gmail.com
Password: facebook#124","User should login 
successfuly",Login Succesfully,Pass
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_005,"Enter invalid eamil address and valid
password","1.Enter invalid email address
2.Enter valid password
3. Click on login button","User shloud have launched
https://www.facebook.com","Email address: facebookgmail.com
Password: facebook#125",The email address or mobile number you entered isn't connected to an account. Find your account and log in,The email address or mobile number you entered isn't connected to an account. Find your account and log in,Pass
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_006,"Enter invalid phone number and valid
password","1.Enter invalid phone number
2.Enter valid password
3. Click on login button","User shloud have launched
https://www.facebook.com","Phone number: 123456
Password: facebook#126",The email address or mobile number you entered isn't connected to an account. Find your account and log in,The email address or mobile number you entered isn't connected to an account. Find your account and log in,Pass
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_007,"Enter valid phone number and invalid
password","1.Enter valid phone number
2.Enter invalid password
3. Click on login button","User shloud have launched
https://www.facebook.com","Phone number: 1234567890
Password: ###",The password that you've entered is incorrect. ,The password that you've entered is incorrect. ,Pass
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_008,"Enter valid email address and invalid
password","1.Enter valid email address
2.Enter invalid password
3. Click on login button","User shloud have launched
https://www.facebook.com","Email address: facebook@gmail.com
Password: ###",The password that you've entered is incorrect. ,The password that you've entered is incorrect. ,Pass
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_009,"Enter invalid phone number and invalid
password","1.Enter invalid phone number
2.Enter invalid password
3. Click on login button","User shloud have launched
https://www.facebook.com","Phone number: 1234
Password: ###",The email address or mobile number you entered isn't connected to an account. Find your account and log in,The email address or mobile number you entered isn't connected to an account. Find your account and log in,Pass
TS_LWF_01,"Verify that the user should able to 
see the facebook login page after
clicking on Login with Facebook
button
",TC_LWF_010,"Enter invalid email addres and invalid
password","1.Enter invalid email address
2.Enter invalid password
3. Click on login button","User shloud have launched
https://www.facebook.com","Email address: facebookgmail.com
Password: ###",The email address or mobile number you entered isn't connected to an account. Find your account and log in,The email address or mobile number you entered isn't connected to an account. Find your account and log in,Pass
