Project Name,Instagram,,,,,,,,
Module Name,Login Page,,,,,,,,
Created By,Aman Kumar,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Test Scenerio ID,Test Scenerio Description,Test Case ID,Test Case Description,Test Steps,Precondition,Test Data,Expected Result,Actual Result,Status
,,,,,,,,,
TS_In_001,"

Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_001,"The design of login page
 should be as per Figma","1.User have launched
 https://www.instagram.com/ ","1.User have launched
 https://www.instagram.com/ ",N/A,UI should be as per the Figma design,As Expected ,Pass
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_002,"User should not able to
 login with blank username,
 phone number, email id 
and password","1.Tap on login button with blank 
username, email id and 
password","1.User have launched
 https://www.instagram.com/ ",N/A,"Login button should
not work","Login button should
not work",Pass
TS_In_001,"
Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_003,"Enter valid username and valid 
password","1.Enter valid username
2.Enter valid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Username: its_instagram
Password : pass12345@","User should successfully
login"," successfully
login",Pass
TS_In_001,"
Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_004,"Enter valid phone number and 
valid password","1.Enter valid phone number
2.Enter valid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Phone number: 1234567890
Password : pass12345@","User should successfully
login"," successfully
login",Pass
TS_In_001,"
Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_005,"Enter valid email id and valid 
password","1.Enter valid email id 
2.Enter valid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Email ID: instagram@gmail.com
Password : pass12345@","User should successfully
login"," successfully
login",Pass
TS_In_001,"
Verify the login page fumctionality of 
Instagram Login Page
",TC_In_Login_006,Enter invalid username and valid password,"1.Enter invalid username
2.Enter valid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Username: @_fff73892
Password : pass12345@","Error message should
be displayed for invalid
username","Sorry, your password was incorrect. Please double-check your password.",Fail
TS_In_001,"Verify the login page fumctionality of 
Instagram Login Page
",TC_In_Login_007,Enter invalid phone number and valid password,"1.Enter invalid phone number
2.Enter valid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Phone Number: @1234567890
Password : pass12345@","Error message should
be displayed for invalid
phone number","Sorry, your password was incorrect. Please double-check your password.",Fail
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_008,Enter invalid email id and valid password,"1.Enter invalid email id
2.Enter valid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Email ID: instagramgmail.com
Password : pass12345@","Error message should
be displayed for invalid
email id","Sorry, your password was incorrect. Please double-check your password.",Fail
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_009,Enter valid email id and invalid password,"1.Enter valid email id
2.Enter invalid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Email ID: instagram@gmail.com
Password : pass12345@....","Sorry, your password was incorrect. Please double-check your password.","Sorry, your password was incorrect. Please double-check your password.",Pass
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_010,Enter valid username and invalid password,"1.Enter valid username
2.Enter invalid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Username: Its_instagram
Password : pass12345@....","Sorry, your password was incorrect. Please double-check your password.","Sorry, your password was incorrect. Please double-check your password.",Pass
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_011,Enter valid phone number and invalid password,"1.Enter valid phone number
2.Enter invalid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Phone Number: 1234567890
Password : pass12345@....","Sorry, your password was incorrect. Please double-check your password.","Sorry, your password was incorrect. Please double-check your password.",Pass
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_012,Enter invalid phone number and invalid password,"1.Enter invalid phone number
2.Enter invalid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Phone Number: @1234567890
Password : pass12345@....",Error message shpuld be displayed for both invalid phone number and password,"Sorry, your password was incorrect. Please double-check your password.",Fail
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_013,Enter invalid username and invalid password,"1.Enter invalid username
2.Enter invalid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Username: @_fff1234
Password : pass12345@....",Error message shpuld be displayed for both invalid username and password,"Sorry, your password was incorrect. Please double-check your password.",Fail
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_014,Enter invalid email id and invalid password,"1.Enter invalid email id
2.Enter invalid password
3.Click on the login button","1.User have launched
 https://www.instagram.com/ ","Email ID: instagramgmail.com
Password : pass12345@....",Error message shpuld be displayed for both invalid email id and password,"Sorry, your password was incorrect. Please double-check your password.",Fail
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_015,"User should able to see facebook
login page after clicking on login 
with facebook",1.Click on Login With Facebook Button,"1.User have launched
 https://www.instagram.com/ ",N/A,"User should be able 
to see facebook login page",Facebook login page,Pass
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_016,"User should able to see forget 
password dashboard after clicking on forget password",1.Click on Forget  Password Button,"1.User have launched
 https://www.instagram.com/ ",N/A,"User should be able 
to see forget passowrd page",Forget password page,Pass
TS_In_001,"Verify the login page functionality of 
Instagram Login Page
",TC_In_Login_017,User should able to see sign up page after clicking on sign up button,1.Click on Sign Up Button,"1.User have launched
 https://www.instagram.com/ ",N/A,"User should be able 
to see sign up page ",Sign Up page,Pass
